serial,title,original_name,filename,location,type,affiliation,region_bucket,hiring_priority,website
55,Acharya Jagadish Chandra Bose College,Acharya Jagadish Chandra Bose College,acharya-jagadish-chandra-bose-college.md,"A.J.C. Bose Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.ajcbosecollege.org
56,Ananda Mohan College,Ananda Mohan College,ananda-mohan-college.md,"Raja Rammohan Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://anandamohancollege.ac.in
57,Army Institute of Management Kolkata,Army Institute of Management Kolkata (AIMK),army-institute-of-management-kolkata.md,"New Town / Rajarhat, Kolkata district, West Bengal",MBA / Management Institute,Information to be updated,Kolkata and outskirts,Medium,https://aim.ac.in
58,Asutosh College,Asutosh College,asutosh-college.md,"S.P. Mukherjee Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.asutoshcollege.in
59,B. P. Poddar Institute of Management & Technology,B. P. Poddar Institute of Management & Technology,b-p-poddar-institute-of-management-and-technology.md,"VIP Road / Poddar Vihar, Kolkata district, West Bengal",Engineering + Management College,Information to be updated,Kolkata and outskirts,High,https://bppimt.ac.in
60,Bangabasi College,Bangabasi College,bangabasi-college.md,"R.K.C. Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.bangabasi.ac.in
61,Bangabasi Evening College,Bangabasi Evening College,bangabasi-evening-college.md,"R.K.C. Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.bangabasievening.edu.in
62,Bangabasi Morning College,Bangabasi Morning College,bangabasi-morning-college.md,"R.K.C. Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.bangabasimorning.edu.in
63,Basanti Devi College,Basanti Devi College,basanti-devi-college.md,"Rashbehari Avenue, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.basantidevicollege.edu.in
64,Bengal Institute of Business Studies,Bengal Institute of Business Studies (BIBS),bengal-institute-of-business-studies.md,"Lakeview Road, Kolkata district, West Bengal",MBA / BBA Business School,Information to be updated,Kolkata and outskirts,High,https://www.bibs.co.in
65,Bethune College,Bethune College,bethune-college.md,"Bidhan Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.bethunecollege.ac.in
66,Calcutta Girls' College,Calcutta Girls' College,calcutta-girls-college.md,"Lenin Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://calcuttagirlscollege.ac.in
67,Calcutta Institute of Engineering and Management,Calcutta Institute of Engineering and Management (CIEM),calcutta-institute-of-engineering-and-management.md,"Tollygunge / Chandi Ghosh Road, Kolkata district, West Bengal",Engineering + Management College,Information to be updated,Kolkata and outskirts,Very High,https://ciem.helplinejob.com/
68,Charuchandra College,Charuchandra College,charuchandra-college.md,"Lake Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://charuchandracollege.ac.in
69,Chittaranjan College,Chittaranjan College,chittaranjan-college.md,"Beniatola Lane, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.chittaranjancollege.ac.in
70,City College,City College,city-college.md,"Raja Rammohan Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.citycollegekolkata.org
71,City College of Commerce & Business Administration,City College of Commerce & Business Administration,city-college-of-commerce-and-business-administration.md,"Surya Sen Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.cccba.ac.in
72,Deshbandhu College for Girls,Deshbandhu College for Girls,deshbandhu-college-for-girls.md,"Rashbehari Avenue, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.deshbandhucollegeforgirls.net
73,EIILM Kolkata,EIILM Kolkata,eiilm-kolkata.md,"Waterloo Street / Salt Lake Sector V, Kolkata district, West Bengal",MBA / BBA / BCA Institute,Information to be updated,Kolkata and outskirts,High,https://eiilm.co.in
